site_id,x,y,power,category
4,1198,0,108980.67,High
4,1198,0,108980.67,High
4,1198,0,108980.67,High
4,1198,0,109005.05,High
4,1198,0,109013.22,High
4,1414,0,109030.49,High
4,1198,0,109049.9,High
4,1300,0,109211.7,High
4,1276.12,0,109301.88,High
4,1398,0,109359.17,High
