sample_id,site_id,site_name,qW,Total_Power
75,1,Perth_49,0.770000,3658034.670000
76,1,Perth_49,0.790000,3708800.090000
77,1,Perth_49,0.810000,3837737.140000
78,1,Perth_49,0.780000,3691021.310000
79,1,Perth_49,0.760000,3598168.510000
80,1,Perth_49,0.790000,3729863.500000
81,1,Perth_49,0.780000,3703757.080000
82,1,Perth_49,0.800000,3786769.920000
83,1,Perth_49,0.790000,3709591.270000
84,1,Perth_49,0.810000,3837737.140000
85,1,Perth_49,0.780000,3678978.210000
86,1,Perth_49,0.770000,3657654.900000
87,1,Perth_49,0.800000,3786769.920000
88,1,Perth_49,0.790000,3707216.660000
89,1,Perth_49,0.810000,3837737.140000
90,1,Perth_49,0.790000,3707216.660000
91,1,Perth_49,0.780000,3703757.080000
92,1,Perth_49,0.810000,3837737.140000
93,1,Perth_49,0.780000,3678978.210000
94,1,Perth_49,0.780000,3691021.310000
95,1,Perth_49,0.770000,3641412.660000
96,1,Perth_49,0.790000,3733595.830000
97,1,Perth_49,0.800000,3795815.930000
98,1,Perth_49,0.790000,3717671.710000
99,1,Perth_49,0.790000,3730624.040000
100,1,Perth_49,0.810000,3837737.140000
101,1,Perth_49,0.810000,3837737.140000
102,1,Perth_49,0.790000,3717671.710000
103,1,Perth_49,0.810000,3837737.140000
104,1,Perth_49,0.790000,3707216.660000
105,1,Perth_49,0.780000,3682278.090000
106,1,Perth_49,0.790000,3752411.630000
107,1,Perth_49,0.810000,3837737.140000
108,1,Perth_49,0.780000,3702209.840000
109,1,Perth_49,0.800000,3795815.930000
110,1,Perth_49,0.790000,3747516.900000
111,1,Perth_49,0.780000,3691021.310000
112,1,Perth_49,0.780000,3678978.210000
113,1,Perth_49,0.810000,3837737.140000
114,1,Perth_49,0.790000,3707216.660000
115,1,Perth_49,0.810000,3837737.140000
116,1,Perth_49,0.780000,3702209.840000
117,1,Perth_49,0.810000,3810294.490000
118,1,Perth_49,0.780000,3682278.090000
119,1,Perth_49,0.810000,3837737.140000
120,1,Perth_49,0.810000,3837737.140000
121,1,Perth_49,0.780000,3691021.310000
122,1,Perth_49,0.790000,3746243.900000
123,1,Perth_49,0.790000,3752411.630000
124,1,Perth_49,0.810000,3837737.140000
125,1,Perth_49,0.810000,3837737.140000
126,1,Perth_49,0.820000,3861550.660000
127,1,Perth_49,0.790000,3752411.630000
128,1,Perth_49,0.810000,3810294.490000
129,1,Perth_49,0.780000,3691021.310000
130,1,Perth_49,0.810000,3837737.140000
131,1,Perth_49,0.780000,3702209.840000
132,1,Perth_49,0.800000,3760739.430000
133,1,Perth_49,0.810000,3837737.140000
134,1,Perth_49,0.810000,3815586.900000
135,1,Perth_49,0.790000,3736895.270000
136,1,Perth_49,0.810000,3837737.140000
137,1,Perth_49,0.820000,3861550.660000
138,1,Perth_49,0.800000,3777293.760000
139,1,Perth_49,0.780000,3703666.520000
140,1,Perth_49,0.810000,3837737.140000
141,1,Perth_49,0.800000,3788753.980000
142,1,Perth_49,0.810000,3834958.790000
143,1,Perth_49,0.790000,3752411.630000
144,1,Perth_49,0.790000,3752411.630000
145,1,Perth_49,0.800000,3760739.430000
146,1,Perth_49,0.810000,3837737.140000
147,1,Perth_49,0.810000,3815586.900000
148,1,Perth_49,0.810000,3848562.700000
149,1,Perth_49,0.820000,3861550.660000
150,1,Perth_49,0.790000,3752411.630000
151,1,Perth_49,0.810000,3827846.800000
152,1,Perth_49,0.820000,3853589.870000
153,1,Perth_49,0.800000,3788753.980000
154,1,Perth_49,0.820000,3853664.440000
155,1,Perth_49,0.800000,3786832.930000
156,1,Perth_49,0.790000,3744823.500000
157,1,Perth_49,0.800000,3777293.760000
158,1,Perth_49,0.810000,3837737.140000
159,1,Perth_49,0.800000,3798618.790000
160,1,Perth_49,0.800000,3760739.430000
161,1,Perth_49,0.820000,3861550.660000
162,1,Perth_49,0.810000,3803600.820000
163,1,Perth_49,0.800000,3788753.980000
164,1,Perth_49,0.800000,3798618.790000
165,1,Perth_49,0.820000,3853589.870000
166,1,Perth_49,0.790000,3752411.630000
167,1,Perth_49,0.800000,3770990.060000
168,1,Perth_49,0.800000,3760739.430000
169,1,Perth_49,0.800000,3788753.980000
170,1,Perth_49,0.800000,3782913.430000
171,1,Perth_49,0.800000,3794614.550000
172,1,Perth_49,0.800000,3771188.220000
173,1,Perth_49,0.820000,3861550.660000
174,1,Perth_49,0.800000,3790913.740000
175,1,Perth_49,0.810000,3803600.820000
176,1,Perth_49,0.800000,3788753.980000
177,1,Perth_49,0.800000,3794614.550000
178,1,Perth_49,0.810000,3810213.990000
179,1,Perth_49,0.800000,3794626.940000
180,1,Perth_49,0.810000,3804375.940000
181,1,Perth_49,0.800000,3788753.980000
182,1,Perth_49,0.820000,3853589.870000
183,1,Perth_49,0.790000,3733302.790000
184,1,Perth_49,0.800000,3770990.060000
185,1,Perth_49,0.820000,3861550.660000
186,1,Perth_49,0.800000,3770990.060000
187,1,Perth_49,0.800000,3788753.980000
188,1,Perth_49,0.800000,3790913.740000
189,1,Perth_49,0.800000,3791990.300000
190,1,Perth_49,0.800000,3764897.520000
191,1,Perth_49,0.810000,3811090.890000
192,1,Perth_49,0.810000,3803600.820000
193,1,Perth_49,0.800000,3762972.980000
194,1,Perth_49,0.780000,3703473.550000
195,1,Perth_49,0.820000,3853589.870000
196,1,Perth_49,0.800000,3794626.940000
197,1,Perth_49,0.820000,3861550.660000
198,1,Perth_49,0.780000,3678663.110000
199,1,Perth_49,0.800000,3762972.980000
200,1,Perth_49,0.810000,3803600.820000
201,1,Perth_49,0.800000,3791990.300000
202,1,Perth_49,0.820000,3861550.660000
203,1,Perth_49,0.820000,3861550.660000
204,1,Perth_49,0.800000,3794626.940000
205,1,Perth_49,0.790000,3715219.480000
206,1,Perth_49,0.800000,3788753.980000
207,1,Perth_49,0.800000,3790913.740000
208,1,Perth_49,0.820000,3861550.660000
209,1,Perth_49,0.820000,3861550.660000
210,1,Perth_49,0.800000,3794626.940000
211,1,Perth_49,0.820000,3861550.660000
212,1,Perth_49,0.800000,3773498.740000
213,1,Perth_49,0.820000,3885954.680000
214,1,Perth_49,0.810000,3819197.560000
215,1,Perth_49,0.790000,3752952.320000
216,1,Perth_49,0.800000,3791990.300000
217,1,Perth_49,0.800000,3770417.190000
218,1,Perth_49,0.820000,3861550.660000
219,1,Perth_49,0.790000,3724125.770000
220,1,Perth_49,0.820000,3861550.660000
221,1,Perth_49,0.820000,3885954.680000
222,1,Perth_49,0.820000,3861550.660000
223,1,Perth_49,0.800000,3791990.300000
224,1,Perth_49,0.800000,3800388.040000
225,1,Perth_49,0.810000,3821558.680000
226,1,Perth_49,0.800000,3788657.040000
227,1,Perth_49,0.790000,3752952.320000
228,1,Perth_49,0.800000,3770417.190000
229,1,Perth_49,0.800000,3773498.740000
230,1,Perth_49,0.820000,3861550.660000
231,1,Perth_49,0.820000,3885954.680000
232,1,Perth_49,0.790000,3737841.350000
233,1,Perth_49,0.820000,3885954.680000
234,1,Perth_49,0.810000,3821558.680000
235,1,Perth_49,0.770000,3635616.950000
236,1,Perth_49,0.800000,3775734.480000
237,1,Perth_49,0.800000,3800388.040000
238,1,Perth_49,0.800000,3788657.040000
239,1,Perth_49,0.800000,3781395.960000
240,1,Perth_49,0.790000,3752952.320000
241,1,Perth_49,0.800000,3791990.300000
242,1,Perth_49,0.800000,3770417.190000
243,1,Perth_49,0.800000,3773498.740000
244,1,Perth_49,0.820000,3861550.660000
245,1,Perth_49,0.820000,3885954.680000
246,1,Perth_49,0.800000,3798459.540000
247,1,Perth_49,0.790000,3752952.320000
248,1,Perth_49,0.820000,3874322.570000
249,1,Perth_49,0.810000,3838220.840000
250,1,Perth_49,0.800000,3770417.190000
251,1,Perth_49,0.800000,3775734.480000
252,1,Perth_49,0.800000,3800388.040000
253,1,Perth_49,0.820000,3861550.660000
254,1,Perth_49,0.800000,3796238.070000
255,1,Perth_49,0.760000,3592059.500000
256,1,Perth_49,0.800000,3781395.960000
257,1,Perth_49,0.820000,3885954.680000
258,1,Perth_49,0.800000,3763294.980000
259,1,Perth_49,0.820000,3874322.570000
260,1,Perth_49,0.820000,3861550.660000
261,1,Perth_49,0.800000,3798459.540000
262,1,Perth_49,0.770000,3656673.080000
263,1,Perth_49,0.810000,3838220.840000
264,1,Perth_49,0.800000,3770417.190000
265,1,Perth_49,0.800000,3782520.490000
266,1,Perth_49,0.800000,3781395.960000
267,1,Perth_49,0.810000,3824414.690000
268,1,Perth_49,0.790000,3752952.320000
269,1,Perth_49,0.820000,3885954.680000
270,1,Perth_49,0.790000,3740029.070000
271,1,Perth_49,0.800000,3782520.490000
272,1,Perth_49,0.810000,3826529.180000
273,1,Perth_49,0.820000,3874322.570000
274,1,Perth_49,0.810000,3838220.840000
275,1,Perth_49,0.820000,3885122.510000
276,1,Perth_49,0.810000,3808318.960000
277,1,Perth_49,0.820000,3861550.660000
278,1,Perth_49,0.790000,3752952.320000
279,1,Perth_49,0.810000,3842365.870000
280,1,Perth_49,0.800000,3770417.190000
281,1,Perth_49,0.820000,3885954.680000
282,1,Perth_49,0.790000,3724183.670000
283,1,Perth_49,0.820000,3874322.570000
284,1,Perth_49,0.790000,3752952.320000
285,1,Perth_49,0.810000,3808318.960000
286,1,Perth_49,0.810000,3842365.870000
287,1,Perth_49,0.820000,3885122.510000
288,1,Perth_49,0.820000,3861550.660000
289,1,Perth_49,0.810000,3808255.270000
290,1,Perth_49,0.810000,3826529.180000
291,1,Perth_49,0.820000,3885954.680000
292,1,Perth_49,0.790000,3743837.680000
293,1,Perth_49,0.820000,3885954.680000
294,1,Perth_49,0.790000,3743837.680000
295,1,Perth_49,0.820000,3866277.280000
296,1,Perth_49,0.820000,3874322.570000
297,1,Perth_49,0.780000,3693873.890000
298,1,Perth_49,0.810000,3808318.960000
299,1,Perth_49,0.790000,3720964.190000
300,1,Perth_49,0.820000,3885122.510000
301,1,Perth_49,0.820000,3885954.680000
302,1,Perth_49,0.820000,3861550.660000
303,1,Perth_49,0.810000,3829874.870000
304,1,Perth_49,0.820000,3885954.680000
305,1,Perth_49,0.820000,3885954.680000
306,1,Perth_49,0.790000,3728292.760000
307,1,Perth_49,0.790000,3743837.680000
308,1,Perth_49,0.820000,3885954.680000
309,1,Perth_49,0.820000,3885954.680000
310,1,Perth_49,0.820000,3874322.570000
311,1,Perth_49,0.820000,3861550.660000
312,1,Perth_49,0.820000,3885954.680000
313,1,Perth_49,0.820000,3876983.080000
314,1,Perth_49,0.820000,3877749.380000
315,1,Perth_49,0.820000,3885954.680000
316,1,Perth_49,0.810000,3808318.960000
317,1,Perth_49,0.820000,3885954.680000
318,1,Perth_49,0.790000,3749685.120000
319,1,Perth_49,0.820000,3874322.570000
320,1,Perth_49,0.820000,3885954.680000
321,1,Perth_49,0.820000,3874322.570000
322,1,Perth_49,0.820000,3885954.680000
323,1,Perth_49,0.820000,3885954.680000
324,1,Perth_49,0.770000,3652085.430000
325,1,Perth_49,0.820000,3874322.570000
326,1,Perth_49,0.820000,3876983.080000
327,1,Perth_49,0.790000,3743837.680000
328,1,Perth_49,0.820000,3861550.660000
329,1,Perth_49,0.820000,3885954.680000
330,1,Perth_49,0.820000,3885954.680000
331,1,Perth_49,0.820000,3874322.570000
332,1,Perth_49,0.810000,3813223.040000
333,1,Perth_49,0.820000,3874322.570000
334,1,Perth_49,0.820000,3858343.960000
335,1,Perth_49,0.790000,3743837.680000
336,1,Perth_49,0.820000,3885954.680000
337,1,Perth_49,0.820000,3874322.570000
338,1,Perth_49,0.790000,3749685.120000
339,1,Perth_49,0.820000,3885954.680000
340,1,Perth_49,0.820000,3876983.080000
341,1,Perth_49,0.820000,3885954.680000
342,1,Perth_49,0.820000,3887729.610000
343,1,Perth_49,0.820000,3874322.570000
344,1,Perth_49,0.820000,3858343.960000
345,1,Perth_49,0.800000,3787827.890000
346,1,Perth_49,0.770000,3648282.610000
347,1,Perth_49,0.820000,3885954.680000
348,1,Perth_49,0.820000,3874322.570000
349,1,Perth_49,0.820000,3876983.080000
350,1,Perth_49,0.820000,3876983.080000
351,1,Perth_49,0.820000,3874322.570000
352,1,Perth_49,0.790000,3749685.120000
353,1,Perth_49,0.820000,3887729.610000
354,1,Perth_49,0.820000,3858343.960000
355,1,Perth_49,0.820000,3876983.080000
356,1,Perth_49,0.820000,3876983.080000
357,1,Perth_49,0.800000,3787827.890000
358,1,Perth_49,0.820000,3885954.680000
359,1,Perth_49,0.790000,3749685.120000
360,1,Perth_49,0.800000,3782852.890000
361,1,Perth_49,0.820000,3874322.570000
362,1,Perth_49,0.820000,3877832.850000
363,1,Perth_49,0.820000,3858343.960000
364,1,Perth_49,0.810000,3839497.740000
365,1,Perth_49,0.820000,3887729.610000
366,1,Perth_49,0.820000,3876983.080000
367,1,Perth_49,0.820000,3874341.710000
368,1,Perth_49,0.820000,3885954.680000
369,1,Perth_49,0.820000,3858343.960000
370,1,Perth_49,0.820000,3852953.570000
371,1,Perth_49,0.820000,3858343.960000
372,1,Perth_49,0.820000,3875952.510000
373,1,Perth_49,0.800000,3787827.890000
374,1,Perth_49,0.820000,3876983.080000
375,1,Perth_49,0.810000,3839497.740000
376,1,Perth_49,0.820000,3877832.850000
377,1,Perth_49,0.820000,3887729.610000
378,1,Perth_49,0.820000,3876983.080000
379,1,Perth_49,0.820000,3852953.570000
380,1,Perth_49,0.820000,3875952.510000
381,1,Perth_49,0.820000,3852953.570000
382,1,Perth_49,0.820000,3876983.080000
383,1,Perth_49,0.820000,3887729.610000
384,1,Perth_49,0.820000,3876983.080000
385,1,Perth_49,0.820000,3876983.080000
386,1,Perth_49,0.820000,3887729.610000
387,1,Perth_49,0.820000,3858343.960000
388,1,Perth_49,0.820000,3858343.960000
389,1,Perth_49,0.820000,3887729.610000
390,1,Perth_49,0.820000,3875952.510000
391,1,Perth_49,0.820000,3887729.610000
392,1,Perth_49,0.820000,3858343.960000
393,1,Perth_49,0.820000,3876983.080000
394,1,Perth_49,0.820000,3875952.510000
395,1,Perth_49,0.820000,3858343.960000
396,1,Perth_49,0.820000,3852953.570000
397,1,Perth_49,0.820000,3874844.560000
398,1,Perth_49,0.820000,3894068.150000
399,1,Perth_49,0.820000,3887729.610000
400,1,Perth_49,0.820000,3887729.610000
401,1,Perth_49,0.820000,3894068.150000
402,1,Perth_49,0.810000,3839873.870000
403,1,Perth_49,0.820000,3858343.960000
404,1,Perth_49,0.820000,3875952.510000
405,1,Perth_49,0.820000,3868851.250000
406,1,Perth_49,0.820000,3887729.610000
407,1,Perth_49,0.820000,3874844.560000
408,1,Perth_49,0.820000,3858343.960000
409,1,Perth_49,0.820000,3865667.330000
410,1,Perth_49,0.830000,3904293.160000
411,1,Perth_49,0.820000,3887729.610000
412,1,Perth_49,0.820000,3894068.150000
413,1,Perth_49,0.830000,3904293.160000
414,1,Perth_49,0.830000,3904293.160000
415,1,Perth_49,0.820000,3868851.250000
416,1,Perth_49,0.820000,3894068.150000
417,1,Perth_49,0.820000,3894068.150000
418,1,Perth_49,0.820000,3875952.510000
419,1,Perth_49,0.820000,3876643.700000
420,1,Perth_49,0.820000,3858343.960000
421,1,Perth_49,0.820000,3887729.610000
422,1,Perth_49,0.820000,3858343.960000
423,1,Perth_49,0.830000,3900429.410000
424,1,Perth_49,0.820000,3874844.560000
425,1,Perth_49,0.830000,3904293.160000
426,1,Perth_49,0.820000,3865993.570000
427,1,Perth_49,0.830000,3900429.410000
428,1,Perth_49,0.820000,3875952.510000
429,1,Perth_49,0.830000,3905384.680000
430,1,Perth_49,0.820000,3874844.560000
431,1,Perth_49,0.820000,3886795.750000
432,1,Perth_49,0.820000,3886419.880000
433,1,Perth_49,0.820000,3887729.610000
434,1,Perth_49,0.820000,3894068.150000
435,1,Perth_49,0.820000,3868943.710000
436,1,Perth_49,0.820000,3876643.700000
437,1,Perth_49,0.830000,3905384.680000
438,1,Perth_49,0.820000,3886795.750000
439,1,Perth_49,0.820000,3874844.560000
440,1,Perth_49,0.820000,3885680.410000
441,1,Perth_49,0.820000,3868943.710000
442,1,Perth_49,0.820000,3871709.460000
443,1,Perth_49,0.820000,3887729.610000
444,1,Perth_49,0.820000,3887028.210000
445,1,Perth_49,0.820000,3876242.300000
446,1,Perth_49,0.820000,3886419.880000
447,1,Perth_49,0.820000,3875952.510000
448,1,Perth_49,0.830000,3901275.300000
449,1,Perth_49,0.830000,3905384.680000
450,1,Perth_49,0.820000,3885924.040000
451,1,Perth_49,0.790000,3748343.490000
452,1,Perth_49,0.820000,3895472.570000
453,1,Perth_49,0.820000,3871709.460000
454,1,Perth_49,0.820000,3874844.560000
455,1,Perth_49,0.830000,3899152.950000
456,1,Perth_49,0.820000,3887028.210000
457,1,Perth_49,0.820000,3886795.750000
458,1,Perth_49,0.830000,3901275.300000
459,1,Perth_49,0.820000,3876242.300000
460,1,Perth_49,0.830000,3905384.680000
461,1,Perth_49,0.830000,3905384.680000
462,1,Perth_49,0.830000,3905384.680000
463,1,Perth_49,0.820000,3887028.210000
464,1,Perth_49,0.820000,3871324.920000
465,1,Perth_49,0.830000,3905384.680000
466,1,Perth_49,0.780000,3698868.610000
467,1,Perth_49,0.820000,3885924.040000
468,1,Perth_49,0.820000,3885924.040000
469,1,Perth_49,0.820000,3874844.560000
470,1,Perth_49,0.820000,3886795.750000
471,1,Perth_49,0.820000,3876242.300000
472,1,Perth_49,0.790000,3740982.360000
473,1,Perth_49,0.830000,3905384.680000
474,1,Perth_49,0.830000,3905384.680000
475,1,Perth_49,0.790000,3740982.360000
476,1,Perth_49,0.820000,3876242.300000
477,1,Perth_49,0.820000,3886795.750000
478,1,Perth_49,0.830000,3905384.680000
479,1,Perth_49,0.830000,3905384.680000
480,1,Perth_49,0.820000,3895910.790000
481,1,Perth_49,0.830000,3905384.680000
482,1,Perth_49,0.830000,3905384.680000
483,1,Perth_49,0.820000,3869375.840000
484,1,Perth_49,0.820000,3874844.560000
485,1,Perth_49,0.830000,3905384.680000
486,1,Perth_49,0.820000,3886795.750000
487,1,Perth_49,0.830000,3905384.680000
488,1,Perth_49,0.820000,3876242.300000
489,1,Perth_49,0.830000,3905384.680000
490,1,Perth_49,0.830000,3905384.680000
491,1,Perth_49,0.820000,3895910.790000
492,1,Perth_49,0.820000,3869375.840000
493,1,Perth_49,0.820000,3895910.790000
494,1,Perth_49,0.830000,3905384.680000
495,1,Perth_49,0.790000,3752194.520000
496,1,Perth_49,0.820000,3865114.840000
497,1,Perth_49,0.830000,3905384.680000
498,1,Perth_49,0.820000,3865114.840000
499,1,Perth_49,0.830000,3905384.680000
500,1,Perth_49,0.820000,3852406.690000
501,1,Perth_49,0.820000,3895910.790000
502,1,Perth_49,0.820000,3895910.790000
503,1,Perth_49,0.830000,3905384.680000
504,1,Perth_49,0.830000,3905384.680000
505,1,Perth_49,0.800000,3799059.040000
506,1,Perth_49,0.820000,3895910.790000
507,1,Perth_49,0.830000,3905384.680000
508,1,Perth_49,0.830000,3905384.680000
509,1,Perth_49,0.830000,3905384.680000
510,1,Perth_49,0.810000,3805669.790000
511,1,Perth_49,0.820000,3895910.790000
512,1,Perth_49,0.830000,3905384.680000
513,1,Perth_49,0.820000,3859822.130000
514,1,Perth_49,0.820000,3856966.920000
515,1,Perth_49,0.830000,3905384.680000
516,1,Perth_49,0.820000,3895910.790000
517,1,Perth_49,0.830000,3903097.510000
518,1,Perth_49,0.830000,3905384.680000
519,1,Perth_49,0.790000,3741331.960000
520,1,Perth_49,0.830000,3905384.680000
521,1,Perth_49,0.830000,3905384.680000
522,1,Perth_49,0.820000,3895910.790000
523,1,Perth_49,0.830000,3905384.680000
524,1,Perth_49,0.820000,3895910.790000
525,1,Perth_49,0.830000,3905384.680000
526,1,Perth_49,0.810000,3805669.790000
527,1,Perth_49,0.830000,3905384.680000
528,1,Perth_49,0.820000,3895910.790000
529,1,Perth_49,0.830000,3905384.680000
530,1,Perth_49,0.820000,3859822.130000
531,1,Perth_49,0.830000,3905384.680000
532,1,Perth_49,0.820000,3895910.790000
533,1,Perth_49,0.830000,3905384.680000
534,1,Perth_49,0.830000,3905384.680000
535,1,Perth_49,0.820000,3895910.790000
536,1,Perth_49,0.830000,3905384.680000
537,1,Perth_49,0.830000,3905384.680000
538,1,Perth_49,0.830000,3905384.680000
539,1,Perth_49,0.830000,3905384.680000
540,1,Perth_49,0.790000,3709023.940000
541,1,Perth_49,0.820000,3895910.790000
542,1,Perth_49,0.820000,3895910.790000
543,1,Perth_49,0.830000,3905384.680000
544,1,Perth_49,0.830000,3905384.680000
545,1,Perth_49,0.830000,3905384.680000
546,1,Perth_49,0.830000,3905384.680000
547,1,Perth_49,0.820000,3895910.790000
548,1,Perth_49,0.830000,3905384.680000
549,1,Perth_49,0.830000,3905384.680000
550,1,Perth_49,0.790000,3726831.660000
551,1,Perth_49,0.830000,3903734.310000
552,1,Perth_49,0.820000,3895910.790000
553,1,Perth_49,0.820000,3895910.790000
554,1,Perth_49,0.830000,3905384.680000
555,1,Perth_49,0.830000,3905384.680000
556,1,Perth_49,0.830000,3905384.680000
557,1,Perth_49,0.830000,3905384.680000
558,1,Perth_49,0.830000,3905384.680000
559,1,Perth_49,0.820000,3895910.790000
560,1,Perth_49,0.830000,3905384.680000
561,1,Perth_49,0.820000,3895910.790000
562,1,Perth_49,0.820000,3895910.790000
563,1,Perth_49,0.830000,3905384.680000
564,1,Perth_49,0.810000,3829296.240000
565,1,Perth_49,0.830000,3903734.310000
566,1,Perth_49,0.830000,3905384.680000
567,1,Perth_49,0.820000,3895910.790000
568,1,Perth_49,0.830000,3905384.680000
569,1,Perth_49,0.830000,3905384.680000
570,1,Perth_49,0.830000,3905384.680000
571,1,Perth_49,0.830000,3905384.680000
572,1,Perth_49,0.820000,3895910.790000
573,1,Perth_49,0.830000,3905384.680000
574,1,Perth_49,0.820000,3895910.790000
575,1,Perth_49,0.830000,3905384.680000
576,1,Perth_49,0.820000,3895910.790000
577,1,Perth_49,0.830000,3905384.680000
578,1,Perth_49,0.830000,3905384.680000
579,1,Perth_49,0.820000,3895910.790000
580,1,Perth_49,0.810000,3820467.860000
581,1,Perth_49,0.830000,3905384.680000
582,1,Perth_49,0.820000,3895910.790000
583,1,Perth_49,0.830000,3905384.680000
584,1,Perth_49,0.820000,3895910.790000
585,1,Perth_49,0.800000,3795879.730000
586,1,Perth_49,0.830000,3905384.680000
587,1,Perth_49,0.830000,3905384.680000
588,1,Perth_49,0.830000,3905384.680000
589,1,Perth_49,0.820000,3895910.790000
590,1,Perth_49,0.830000,3905384.680000
591,1,Perth_49,0.820000,3895910.790000
592,1,Perth_49,0.830000,3905384.680000
593,1,Perth_49,0.830000,3905384.680000
594,1,Perth_49,0.820000,3895910.790000
595,1,Perth_49,0.830000,3905384.680000
596,1,Perth_49,0.830000,3905384.680000
597,1,Perth_49,0.830000,3905384.680000
598,1,Perth_49,0.830000,3905384.680000
599,1,Perth_49,0.820000,3895910.790000
600,1,Perth_49,0.830000,3905384.680000
601,1,Perth_49,0.810000,3807914.280000
602,1,Perth_49,0.830000,3905384.680000
603,1,Perth_49,0.830000,3905384.680000
604,1,Perth_49,0.830000,3905384.680000
605,1,Perth_49,0.830000,3905384.680000
606,1,Perth_49,0.830000,3905384.680000
607,1,Perth_49,0.830000,3905384.680000
608,1,Perth_49,0.830000,3905384.680000
609,1,Perth_49,0.830000,3905384.680000
610,1,Perth_49,0.830000,3930092.720000
611,1,Perth_49,0.830000,3905384.680000
612,1,Perth_49,0.800000,3787606.090000
613,1,Perth_49,0.830000,3905384.680000
614,1,Perth_49,0.830000,3905384.680000
615,1,Perth_49,0.830000,3905384.680000
616,1,Perth_49,0.820000,3895910.790000
617,1,Perth_49,0.830000,3930092.720000
618,1,Perth_49,0.820000,3875036.910000
619,1,Perth_49,0.830000,3905384.680000
620,1,Perth_49,0.830000,3939700.790000
621,1,Perth_49,0.830000,3905384.680000
622,1,Perth_49,0.810000,3822009.720000
623,1,Perth_49,0.820000,3894844.040000
624,1,Perth_49,0.820000,3895910.790000
625,1,Perth_49,0.800000,3760264.500000
626,1,Perth_49,0.830000,3905384.680000
627,1,Perth_49,0.830000,3905384.680000
628,1,Perth_49,0.830000,3905384.680000
629,1,Perth_49,0.830000,3939700.790000
630,1,Perth_49,0.830000,3905384.680000
631,1,Perth_49,0.830000,3939700.790000
632,1,Perth_49,0.830000,3905384.680000
633,1,Perth_49,0.830000,3905384.680000
634,1,Perth_49,0.820000,3872601.070000
